nomacheteur,records
DIRPJJ,61
PONTIVY COMMUNAUTE,61
EPFB,61
CC Estuaire et Sillon,61
Communauté d'Agglomération Lisieux Normandie,61
SEVEDE,60
ANTAI,60
SMEA DE LA REGION DE EU,60
SAMOA,60
COMMUNE DE CHEMILLE EN ANJOU,60
cc du Pays de Mortagne,60
Société d'équipement de la Touraine,60
SRD,60
Mairie de La Baule-Escoublac,60
Lillebonne,60
Communauté d'agglomération Fécamp Caux Littoral,60
Communauté d'agglomération Saumur Val de Loire (49),60
Communauté de Communes des Pieux,59
Cté de communes Caux vallée de Seine,59
CPAM du Calvados,59
Ville de Lamballe,59
Mayenne Communauté,59
Mairie de Nort-sur-Erdre,59
Communauté de communes Lyons Andelle,59
Morbihan Energies,59
ANJOU LOIR ET SARTHE,59
SOC PUB LOCALE CONSTR PUB ILLE VILAINE,59
Nantes metropole,59
Communauté de Communes de la Côte d'Albâtre,59
Nantes métropole,59
Rectorat de Rennes,58
Cté de Cnes Caux-Estuaire,58
Centre Communal d'Action Sociale Caen,58
ARS Pays de La Loire,58
Cour d'Appel de Rennes,58
SPL D ALENCON,58
CC NORMANDIE CABOURG PAYS D AUGE,58
CENTRE HENRI BECQUEREL,58
GIP RESAH,58
Groupement de commandes du Finistère,58
KERVAL CENTRE ARMOR,57
Syndicat Mixte Centre Nord Atlantique,57
SMPRB,57
Commune de Bois-Guillaume,57
GCEPE de Rennes et de la région,57
INRIA,57
Ville de Puteaux,57
Ville de VIRE NORMANDIE,57
CA Saumur Val de Loire,57
Syndicat D'Eau de l'Anjou,57
Communauté de Communes Océan Marais de Monts (85),57
SMITRED OUEST D'ARMOR,57
CC Avranches-Mont Saint Michel,56
Commune de La Flèche,56
Communauté de Communes du Cap-Sizun,56
MORLAIX COMMUNAUTE,56
Conseil Général d'Ille-et-Vilaine,56
CC HAUT LEON COMMUNAUTE,56
Ville de Saint Hilaire de Riez,56
BATIMENTS ET STYLES DE BRETAGNE (BSB),56
Communauté de communes Baugeois Vallée,56
Ville d'Ancenis,55
Ville de Petit-Quevilly,55
Commune de Challans,55
ville de Coulaines,55
CCIT Saint Malo - Fougères,55
ville de Bouchemaine,55
SYVEDAC,55
ESAT Foyers,55
Conseil régional de Bretagne,55
Mairie de Blain,55
CC PAYS DE FONTENAY VENDEE,55
COMMUNAUTE DE COMMUNES SEVRE ET LOIRE,55
INTER CAUX VEXIN,55
CNFPT Délégation Bretagne,54
Grpt de cdes des pays de St malo,54
CCI des Côtes d'Armor,54
SONADEV,54
VILLE DE PORNICHET,54
Ville de Lamballe-Armor,54
Mairie de Louviers,54
CC NORMANDIE CABOURG PAYS D'AUGE,54
FRG02,54
Syndicat Mixte de la Base Léry Poses,53
CCI Le Havre,53
Cté de Cnes de l'Ile de Noirmoutier,53
Mancelle d'habitation,53
CAHPP (mandataire habilité),53
LAVAL AGGLOMERATION,53
COMSOPGN,53
Quimper Bretagne Occidentale,53
Seine Normandie Agglomération,53
Pole Santé Sarthe et Loire,52
Ville de Dinard,52
Syndicat Départemental d'Energie,52
S.D.I.S. de l'Eure,52
Mairie de Malaunay,52
C.S.T.B.,52
Communauté de Cnes Terres de Montaigu,52
Conseil départemental du Morbihan,52
Ville de Trégunc,52
Cté de Communes du Val de Sarthe,52
Plate Forme Achats Finances Nord Est,52
Cerema,52
Meldomys,52
Côtes d'Armor Habitat,51
SMO Eure Numérique,51
Rectorat Division Scus,51
Ville de Pavilly,51
Conseil départemental Côtes d'Armor,51
CC DU PAYS DE ST FULGENT LES ESSARTS,51
ville de Pontivy,51
CCI Pays de la Loire,51
AURAY QUIBERON TERRE ATLANTIQUE,51
NANTES UNIVERSITE,51
Sdis de la Mayenne,50
Ville de Moëlan sur Mer,50
Ville de Beaucouzé,50
DELPIA,50
Sarthe Habitat,50
Centre Hospitalier Loire Vendée Océan,50
Sèvre Loire Habitat,50
Régie Dépt Passages d'Eau de Vendée,50
Gpt collèges et lycées du finistère,50
Ville de Larmor-plage,50
Commune de Val-de-Reuil,50
Inst. Interdpt bassin Sèvre Niortaise,50
CC de Pleyben-Châteaulin-Porzay,50
CC DU VEXIN NORMAND,50
Vendée Habitat - OPH de Vendée,50
Commune de Mont Saint Aignan,50
Communauté d'Agglomération du Niortais,50
MAIRIE DE REZE,50
Mairie De Reze,50
Cté de Cnes du pays Fontenay le Comte,49
DEPARTEMENT DE SEINE-MARITIME,49
Ville de Mont-Saint-Aignan,49
VALORISLE - SDOMODE,49
SAINT-LO AGGLO,49
Ville de Carnac,49
REGION PAYS DE LA LOIRE,49
PORTS DE NORMANDIE,49
Centre Hospitalier du Rouvray,48
SCA/PFAF SO,48
SDIS de l'Orne,48
Lamballe Communauté,48
Centre Communal d'Action Sociale,48
Ville de Cancale,48
Ville de Quéven,48
SYGOM,48
IFSTTAR,48
SGAR Bretagne,48
SAEML VENDEE ENERGIE,48
CC CENTRE MORBIHAN COMMUNAUTE,48
Chambre rég. agriculture de Normandie,48
Syndicat Mixte Valor3e,48
Ville de Corbas,48
VILLE DE FLERS,48
Dinan Agglomération,48
CHRU CAEN,48
Agence Régionale Pays de la Loire TI,47
CHI Eure-Seine,47
REGIE MALOUINE DE L'EAU,47
Préfecture de la Vendée,47
CPAM RENNES,47
Centre Hospitalier des Drs Rosenberg,47
SATT OUEST VALORISATION,47
COMMUNE DE SAINT PIERRE LES ELBEUF,47
COMMUNE DE FRANQUEVILLE SAINT PIERRE,47
